,
chair person chair chair chair chair chair dining table chair dining table chair,dining room
tv person person chair,computer room
sink sink,kitchen
chair chair couch dining table,living room
person dining table bottle person chair,lecture room
toilet,bathroom
chair chair chair dining table,dining room
chair chair chair chair dining table potted plant wine glass,dining room
person person person person person person person person chair person person person person person person person,lecture room
toilet toilet sink,bathroom
laptop keyboard laptop laptop keyboard laptop laptop laptop tv keyboard laptop mouse laptop,computer room
toilet,bathroom
tv chair keyboard laptop,computer room
bed bed,bedroom
vase dining table chair chair potted plant,dining room
bed,bedroom
bed couch,dorm room
person person person person person person person person person person remote person handbag suitcase person person,classroom
bed chair,bedroom
person person person person person person,kitchen
couch potted plant potted plant,living room
person chair,living room
bottle cup,kitchen
refrigerator oven,kitchen
person bed,dorm room
bed cat tv cat,dorm room
person chair chair chair person chair person person person person person person person,classroom
refrigerator chair oven,kitchen
tv laptop tv tv tv book,computer room
person person chair microwave,kitchen
couch suitcase,living room
toilet dog,bathroom
person person person tv clock bottle,dorm room
person chair book,classroom
tv chair chair chair chair chair chair chair chair chair chair dining table chair,lecture room
oven microwave oven,kitchen
chair chair chair dining table chair,dining room
person person person person person,classroom
suitcase person refrigerator handbag refrigerator suitcase,living room
person person person person person person person person person person person person person person handbag,classroom
refrigerator chair chair microwave dining table person potted plant bottle bottle potted plant bottle vase,kitchen
tv tv tv chair laptop,computer room
person person person person chair person person person person person person,computer room
person person person laptop person laptop,lecture room
chair bed chair chair,bedroom
person person person person person person,lecture room
person person person person person person person person person person person person person person,lecture room
couch potted plant couch,living room
couch couch cake tv,living room
bed,bedroom
person person couch person,dorm room
chair chair dining table chair chair chair,dining room
person person person dining table person person person suitcase person person person person person person suitcase person person dining table person person,lecture room
laptop person chair chair chair,computer room
person chair chair dining table dining table,classroom
chair potted plant potted plant chair chair potted plant vase couch,living room
chair dining table refrigerator,dorm room
toilet sink toilet,bathroom
chair laptop tv tv keyboard tv mouse keyboard keyboard,computer room
person person person person person person bottle dining table,classroom
refrigerator,kitchen
bed tv,bedroom
keyboard tv chair mouse bottle,computer room
oven microwave bottle bottle bottle sink,kitchen
toilet bottle,bathroom
bed,bedroom
bed,bedroom
oven refrigerator oven,kitchen
chair chair,living room
vase bowl,kitchen
donut donut bowl couch,living room
bed bed,dorm room
couch couch chair,living room
sink,kitchen
laptop laptop laptop tv laptop,computer room
toilet toilet sink sink,bathroom
refrigerator person refrigerator,kitchen
person person person person person person person person person,lecture room
person person person person person person person person person person person person person person person person,lecture room
refrigerator microwave chair potted plant chair chair potted plant dining table chair,kitchen
laptop laptop person person chair chair person person bottle chair person tv person person chair chair chair,computer room
toilet,bathroom
toilet,bathroom
person person person person person person dining table person,dining room
person cup,computer room
tv chair laptop chair book,living room
bed bed,bedroom
sink,kitchen
couch,living room
bed,bedroom
chair dining table couch potted plant potted plant,living room
couch bed bed couch,living room
couch bed,bedroom
laptop tv person,computer room
toilet toilet,bathroom
person person person tv person person,classroom
person person person pizza pizza person chair,classroom
chair chair dining table chair,dining room
toilet,bathroom
chair chair dining table cat refrigerator,dining room
tv chair,dining room
chair vase chair,living room
chair chair dining table chair,kitchen
bottle bottle bottle bottle knife oven oven,kitchen
laptop person person person person chair person person,lecture room
couch chair,living room
person wine glass microwave microwave,kitchen
tv couch couch chair chair,living room
chair tv knife,living room
toilet,bathroom
bed,bedroom
chair chair truck,living room
bottle tv,computer room
person bowl dining table,classroom
person person person person person person person person chair person person chair person person,lecture room
couch bottle potted plant,living room
couch dining table chair potted plant cup,living room
chair chair bottle bottle oven,kitchen
bottle sink sink,kitchen
dining table chair,dining room
person person person tie chair person person person chair chair person chair chair chair person person,lecture room
bed,bedroom
person person person,lecture room
person person cake,classroom
tv chair clock tv,dorm room
person person person tv person person person person tv bottle person,lecture room
person person person person bottle chair tie person person dining table chair,lecture room
person chair person person chair chair tv,lecture room
person person person person laptop dining table chair person person person person person,classroom
oven oven,kitchen
tv person chair,computer room
person chair chair person person chair person,classroom
couch couch couch,living room
laptop,dorm room
person person person chair chair person person person person person person person person person person,lecture room
person person person chair tv person person person person person person book,lecture room
person person tv chair,computer room
potted plant couch bottle bed couch potted plant chair chair vase,living room
toilet toilet toilet,bathroom
toilet,bathroom
chair,computer room
toilet toilet,bathroom
microwave oven sink sink oven,kitchen
person person person dining table person chair person person person person person chair dining table,classroom
bottle dining table potted plant potted plant chair chair vase,dining room
person chair chair book chair,dining room
chair chair oven chair dining table,kitchen
tv dining table bench,classroom
oven refrigerator bottle microwave,kitchen
oven microwave couch tv couch clock couch,living room
microwave sink oven dining table remote,kitchen
person person person person,lecture room
chair chair chair chair chair chair,lecture room
person person person person chair person chair chair person laptop person person chair chair chair chair,classroom
chair chair chair chair chair dining table chair vase chair potted plant dining table,dining room
bed,bedroom
chair chair chair chair chair chair,living room
refrigerator,dining room
chair chair sink person,kitchen
person chair person person laptop person chair tv person person person chair person person chair tv person,lecture room
person person person person person person person person chair person person,classroom
person wine glass laptop tv backpack handbag,classroom
chair chair chair chair,dining room
person couch,living room
toilet toilet,bathroom
couch chair person person,living room
person person person person person person person chair,classroom
chair couch vase potted plant,living room
sink dining table clock chair chair,kitchen
bowl,kitchen
person chair person person person person dining table dining table person laptop dining table person,lecture room
tv person person,lecture room
couch person,living room
toilet toilet,bathroom
bed,bedroom
chair chair tv book chair chair,computer room
keyboard bed,bedroom
person person person person person person person person person person tie person,lecture room
chair chair,living room
